login_id,msan,dt,total
abdulabas@unifi,PUJ,7/1/2014,3
abdulabas@unifi,PUJ,7/1/2014,3
abdulabas@unifi,PUJ,7/1/2014,5
abdulabas@unifi,PUJ,7/2/2014,3
abdulabas@unifi,PUJ,7/2/2014,4
abdulabas@unifi,PUJ,7/3/2014,2
abdulabas@unifi,PUJ,7/4/2014,3
abdulabas@unifi,PUJ,7/5/2014,2
abdulabas@unifi,PUJ,7/6/2014,3
abdulabas@unifi,PUJ,7/7/2014,2
abdulabas@unifi,PUJ,7/8/2014,2
abdulabas@unifi,PUJ,7/9/2014,3
abdulabas@unifi,PUJ,7/10/2014,2
abdulabas@unifi,PUJ,7/12/2014,2
abdulabas@unifi,PUJ,7/13/2014,1
abdulabas@unifi,PUJ,7/14/2014,3
abdulabas@unifi,PUJ,7/15/2014,3
abdulabas@unifi,PUJ,7/16/2014,5
abdulabas@unifi,PUJ,7/17/2014,4
abdulabas@unifi,PUJ,7/18/2014,2
abdulabas@unifi,PUJ,7/20/2014,4
abdulabas@unifi,PUJ,7/22/2014,3
abdulabas@unifi,PUJ,7/23/2014,7
abdulabas@unifi,PUJ,7/24/2014,2
abdulabas@unifi,PUJ,7/26/2014,2
abdulabas@unifi,PUJ,7/27/2014,2
abdulabas@unifi,PUJ,7/29/2014,3
abdulabas@unifi,PUJ,7/30/2014,4
abdulabas@unifi,PUJ,7/31/2014,2
abdulabas@unifi,PUJ,8/1/2014,2
abdulabas@unifi,PUJ,8/2/2014,4
abdulabas@unifi,PUJ,8/4/2014,3
abdulabas@unifi,PUJ,8/4/2014,3
abdulabas@unifi,PUJ,8/4/2014,3
abdulabas@unifi,PUJ,8/4/2014,1
abdulabas@unifi,PUJ,8/4/2014,3
abdulabas@unifi,PUJ,8/4/2014,3
abdulabas@unifi,PUJ,8/5/2014,4
abdulabas@unifi,PUJ,8/6/2014,3
abdulabas@unifi,PUJ,8/7/2014,2
abdulabas@unifi,PUJ,8/8/2014,1
abdulabas@unifi,PUJ,8/9/2014,4
abdulabas@unifi,PUJ,8/10/2014,3
